Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Switch ID:55688
paths:
ID:47, next hop:14966, cost:50
ID:76, next hop:14966, cost:150
ID:200, next hop:14966, cost:200
ID:235, next hop:52283, cost:100
ID:251, next hop:4038, cost:125
ID:263, next hop:14966, cost:125
ID:373, next hop:13060, cost:75
ID:381, next hop:14966, cost:125
ID:387, next hop:14966, cost:50
ID:589, next hop:14966, cost:100
ID:602, next hop:52283, cost:100
ID:636, next hop:14966, cost:150
ID:659, next hop:59618, cost:75
ID:669, next hop:43539, cost:150
ID:753, next hop:43539, cost:100
ID:804, next hop:59618, cost:250
ID:827, next hop:52283, cost:100
ID:839, next hop:13060, cost:175
ID:905, next hop:24342, cost:125
ID:939, next hop:59618, cost:75
ID:1005, next hop:14966, cost:100
ID:1011, next hop:7334, cost:175
ID:1014, next hop:13060, cost:100
ID:1049, next hop:13060, cost:100
ID:1181, next hop:43539, cost:175
ID:1195, next hop:43539, cost:200
ID:1221, next hop:14966, cost:100
ID:1250, next hop:35313, cost:150
ID:1272, next hop:35313, cost:225
ID:1301, next hop:14966, cost:75
ID:1325, next hop:59618, cost:75
ID:1374, next hop:43539, cost:75
ID:1548, next hop:43539, cost:75
ID:1766, next hop:4038, cost:75
ID:1779, next hop:14966, cost:175
ID:1812, next hop:14966, cost:50
ID:1838, next hop:13060, cost:150
ID:1923, next hop:24342, cost:100
ID:1976, next hop:59615, cost:300
ID:2109, next hop:43539, cost:100
ID:2173, next hop:12983, cost:75
ID:2195, next hop:13060, cost:100
ID:2196, next hop:59618, cost:200
ID:2200, next hop:13060, cost:150
ID:2287, next hop:14966, cost:175
ID:2400, next hop:43539, cost:125
ID:2449, next hop:59618, cost:75
ID:2583, next hop:13060, cost:75
ID:2750, next hop:4038, cost:50
ID:2780, next hop:14966, cost:100
ID:2944, next hop:13060, cost:150
ID:3118, next hop:13060, cost:175
ID:3189, next hop:13060, cost:100
ID:3289, next hop:7334, cost:175
ID:3316, next hop:52283, cost:75
ID:3381, next hop:13060, cost:75
ID:3449, next hop:12983, cost:75
ID:3464, next hop:14966, cost:125
ID:3552, next hop:52283, cost:100
ID:3634, next hop:52283, cost:75
ID:3709, next hop:4170, cost:300
ID:3937, next hop:43539, cost:75
ID:4038, next hop:4038, cost:25
ID:4170, next hop:43539, cost:125
ID:4235, next hop:59618, cost:125
ID:4263, next hop:7334, cost:275
ID:4358, next hop:14966, cost:75
ID:4362, next hop:4038, cost:50
ID:4438, next hop:4038, cost:50
ID:4545, next hop:35313, cost:150
ID:4573, next hop:59615, cost:150
ID:4616, next hop:14966, cost:75
ID:4703, next hop:52283, cost:175
ID:4776, next hop:4038, cost:100
ID:4878, next hop:4038, cost:75
ID:4987, next hop:4038, cost:175
ID:5026, next hop:14966, cost:50
ID:5068, next hop:14966, cost:75
ID:5090, next hop:52283, cost:100
ID:5132, next hop:14966, cost:125
ID:5142, next hop:14966, cost:50
ID:5366, next hop:14966, cost:125
ID:5451, next hop:43539, cost:200
ID:5461, next hop:14966, cost:75
ID:5468, next hop:14966, cost:150
ID:5489, next hop:43539, cost:75
ID:5528, next hop:14966, cost:50
ID:5604, next hop:43539, cost:100
ID:5683, next hop:24342, cost:100
ID:5784, next hop:24342, cost:200
ID:5787, next hop:14966, cost:100
ID:5919, next hop:43539, cost:150
ID:6083, next hop:13060, cost:100
ID:6219, next hop:14966, cost:50
ID:6592, next hop:35313, cost:250
ID:6601, next hop:59618, cost:100
ID:6643, next hop:13060, cost:75
ID:6649, next hop:13060, cost:75
ID:6681, next hop:59615, cost:150
ID:6704, next hop:12983, cost:75
ID:6716, next hop:13060, cost:125
ID:6741, next hop:52283, cost:100
ID:6751, next hop:14966, cost:50
ID:6753, next hop:35293, cost:125
ID:6809, next hop:43539, cost:75
ID:6810, next hop:13060, cost:100
ID:6844, next hop:52283, cost:75
ID:6883, next hop:52283, cost:100
ID:6917, next hop:43539, cost:100
ID:6982, next hop:4038, cost:100
ID:7051, next hop:14966, cost:50
ID:7276, next hop:14966, cost:75
ID:7292, next hop:59618, cost:75
ID:7330, next hop:59615, cost:175
ID:7334, next hop:7334, cost:150
ID:7388, next hop:14966, cost:150
ID:7533, next hop:43539, cost:125
ID:7603, next hop:52283, cost:75
ID:7653, next hop:4038, cost:75
ID:7680, next hop:52283, cost:75
ID:7729, next hop:13060, cost:250
ID:8052, next hop:59618, cost:100
ID:8120, next hop:12983, cost:125
ID:8166, next hop:52283, cost:100
ID:8271, next hop:52283, cost:125
ID:8302, next hop:59755, cost:200
ID:8308, next hop:14966, cost:100
ID:8359, next hop:59618, cost:75
ID:8427, next hop:59615, cost:200
ID:8532, next hop:59618, cost:100
ID:8533, next hop:52283, cost:75
ID:8564, next hop:14966, cost:50
ID:8565, next hop:43539, cost:100
ID:8686, next hop:43539, cost:125
ID:8754, next hop:59618, cost:175
ID:8885, next hop:24342, cost:125
ID:9016, next hop:59618, cost:150
ID:9093, next hop:52283, cost:125
ID:9097, next hop:59618, cost:175
ID:9131, next hop:13060, cost:250
ID:9140, next hop:14966, cost:75
ID:9209, next hop:43539, cost:75
ID:9236, next hop:43539, cost:75
ID:9269, next hop:13060, cost:150
ID:9284, next hop:14966, cost:50
ID:9379, next hop:59615, cost:150
ID:9650, next hop:12983, cost:100
ID:9672, next hop:13060, cost:125
ID:9705, next hop:43539, cost:75
ID:9709, next hop:14966, cost:100
ID:9819, next hop:24643, cost:125
ID:9827, next hop:14966, cost:125
ID:9862, next hop:14966, cost:175
ID:9872, next hop:14966, cost:225
ID:9918, next hop:59615, cost:175
ID:10067, next hop:14966, cost:50
ID:10134, next hop:59618, cost:75
ID:10219, next hop:52283, cost:100
ID:10228, next hop:59618, cost:100
ID:10489, next hop:24342, cost:175
ID:10508, next hop:7334, cost:200
ID:10610, next hop:13060, cost:75
ID:10777, next hop:12983, cost:75
ID:10949, next hop:13060, cost:100
ID:10953, next hop:14966, cost:50
ID:10974, next hop:59615, cost:125
ID:11028, next hop:4038, cost:50
ID:11062, next hop:4038, cost:275
ID:11150, next hop:35313, cost:225
ID:11193, next hop:14966, cost:75
ID:11327, next hop:52283, cost:125
