Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update Hello
Update
Update Hello
Update Hello
Switch ID:51674
paths:
ID:88, next hop:37245, cost:125
ID:308, next hop:21558, cost:200
ID:344, next hop:21558, cost:100
ID:406, next hop:16902, cost:50
ID:456, next hop:16902, cost:125
ID:466, next hop:16902, cost:100
ID:596, next hop:49172, cost:75
ID:617, next hop:14865, cost:250
ID:656, next hop:34845, cost:100
ID:745, next hop:37245, cost:175
ID:898, next hop:18311, cost:175
ID:912, next hop:37245, cost:175
ID:982, next hop:16902, cost:50
ID:995, next hop:21558, cost:150
ID:1088, next hop:24642, cost:175
ID:1110, next hop:34845, cost:175
ID:1121, next hop:49172, cost:125
ID:1189, next hop:9694, cost:175
ID:1275, next hop:16902, cost:50
ID:1276, next hop:37245, cost:50
ID:1310, next hop:34845, cost:75
ID:1329, next hop:37245, cost:175
ID:1339, next hop:9694, cost:200
ID:1373, next hop:37245, cost:100
ID:1576, next hop:49172, cost:150
ID:1720, next hop:34845, cost:100
ID:1735, next hop:9694, cost:200
ID:1895, next hop:46514, cost:225
ID:1979, next hop:24642, cost:200
ID:2011, next hop:24642, cost:150
ID:2098, next hop:16902, cost:75
ID:2277, next hop:49172, cost:75
ID:2289, next hop:37245, cost:75
ID:2305, next hop:4905, cost:125
ID:2345, next hop:10638, cost:225
ID:2398, next hop:49172, cost:75
ID:2410, next hop:25644, cost:175
ID:2472, next hop:21558, cost:150
ID:2478, next hop:9694, cost:150
ID:2547, next hop:46514, cost:200
ID:2577, next hop:9694, cost:225
ID:2584, next hop:16902, cost:75
ID:2601, next hop:25644, cost:150
ID:2603, next hop:49172, cost:100
ID:2608, next hop:10638, cost:175
ID:2663, next hop:9694, cost:175
ID:2683, next hop:49172, cost:175
ID:2698, next hop:30612, cost:200
ID:2714, next hop:30612, cost:200
ID:2742, next hop:16902, cost:150
ID:2779, next hop:49172, cost:75
ID:2921, next hop:49172, cost:100
ID:3009, next hop:16902, cost:125
ID:3011, next hop:16902, cost:100
ID:3023, next hop:9694, cost:200
ID:3091, next hop:37245, cost:50
ID:3128, next hop:46514, cost:175
ID:3235, next hop:30612, cost:150
ID:3245, next hop:46514, cost:175
ID:3248, next hop:37245, cost:150
