ID:341, next hop:35939, cost:75
ID:581, next hop:581, cost:50
ID:589, next hop:35939, cost:50
ID:873, next hop:9561, cost:50
ID:1502, next hop:23643, cost:50
ID:1850, next hop:1964, cost:50
ID:1964, next hop:1964, cost:25
ID:2613, next hop:7973, cost:75
ID:2782, next hop:1964, cost:50
ID:2790, next hop:1964, cost:75
ID:2910, next hop:44291, cost:50
ID:3083, next hop:3742, cost:50
ID:3147, next hop:44291, cost:75
ID:3456, next hop:35939, cost:50
ID:3742, next hop:3742, cost:25
ID:3881, next hop:1964, cost:50
ID:4083, next hop:1964, cost:50
ID:4574, next hop:16587, cost:50
ID:5164, next hop:9561, cost:75
ID:5520, next hop:5520, cost:50
ID:6142, next hop:44291, cost:50
ID:6227, next hop:23643, cost:50
ID:6257, next hop:23643, cost:75
ID:6297, next hop:44291, cost:75
ID:6347, next hop:29095, cost:50
ID:6352, next hop:9561, cost:50
ID:6399, next hop:1964, cost:50
ID:6731, next hop:7973, cost:50
ID:7426, next hop:7973, cost:50
ID:7637, next hop:35939, cost:75
ID:7767, next hop:35939, cost:75
ID:7936, next hop:35139, cost:50
ID:7973, next hop:7973, cost:25
ID:8077, next hop:35939, cost:75
ID:8585, next hop:15353, cost:50
ID:8794, next hop:15353, cost:75
ID:8870, next hop:29095, cost:50
ID:9066, next hop:29095, cost:75
ID:9146, next hop:9146, cost:75
ID:9298, next hop:15353, cost:75
ID:9560, next hop:7973, cost:50
ID:9561, next hop:9561, cost:25
ID:10279, next hop:35939, cost:50
ID:11205, next hop:35939, cost:50
ID:11921, next hop:1964, cost:75
ID:12535, next hop:23643, cost:75
ID:12762, next hop:18027, cost:75
ID:13037, next hop:41274, cost:75
ID:13312, next hop:3742, cost:50
ID:13719, next hop:44291, cost:50
ID:13728, next hop:29095, cost:50
ID:13746, next hop:44291, cost:50
ID:13827, next hop:1964, cost:75
ID:13916, next hop:9561, cost:50
ID:14131, next hop:35939, cost:75
ID:14509, next hop:23643, cost:50
ID:14599, next hop:23643, cost:75
ID:14624, next hop:50749, cost:50
ID:14697, next hop:15353, cost:50
ID:14713, next hop:14713, cost:75
ID:14813, next hop:41274, cost:50
ID:15134, next hop:9561, cost:75
ID:15353, next hop:15353, cost:25
ID:15771, next hop:41274, cost:50
ID:15924, next hop:9561, cost:50
ID:16085, next hop:3742, cost:75
ID:16516, next hop:44291, cost:75
ID:16587, next hop:16587, cost:25
ID:16720, next hop:35139, cost:50
ID:16859, next hop:54214, cost:50
ID:16899, next hop:35939, cost:50
ID:17019, next hop:50749, cost:50
ID:17088, next hop:54214, cost:75
ID:17136, next hop:23643, cost:50
ID:17476, next hop:23643, cost:75
ID:17528, next hop:15353, cost:50
ID:17569, next hop:16587, cost:50
ID:17605, next hop:9561, cost:75
ID:17849, next hop:29095, cost:75
ID:18027, next hop:18027, cost:25
ID:18296, next hop:44291, cost:50
ID:18367, next hop:50749, cost:50
ID:18526, next hop:54214, cost:50
ID:18959, next hop:18959, cost:50
ID:19556, next hop:29095, cost:50
ID:19910, next hop:44291, cost:50
ID:20636, next hop:54214, cost:75
ID:21019, next hop:15353, cost:75
ID:21845, next hop:35939, cost:75
ID:22147, next hop:18027, cost:50
ID:22423, next hop:3742, cost:50
ID:22425, next hop:29095, cost:50
ID:23114, next hop:3742, cost:75
ID:23298, next hop:29095, cost:50
ID:23399, next hop:18027, cost:75
ID:23545, next hop:581, cost:75
ID:23643, next hop:23643, cost:25
ID:23668, next hop:50749, cost:75
ID:23758, next hop:15353, cost:50
ID:23890, next hop:9561, cost:75
ID:24127, next hop:24127, cost:50
ID:25073, next hop:16587, cost:50
ID:25108, next hop:41274, cost:50
ID:25556, next hop:3742, cost:50
ID:26446, next hop:44291, cost:75
ID:26760, next hop:16587, cost:50
ID:26926, next hop:15353, cost:50
ID:28083, next hop:9561, cost:75
ID:28133, next hop:41274, cost:50
ID:28408, next hop:1964, cost:75
ID:29095, next hop:29095, cost:25
ID:29172, next hop:35139, cost:50
ID:29300, next hop:16587, cost:75
ID:29964, next hop:29095, cost:50
ID:29984, next hop:29095, cost:75
ID:30164, next hop:35139, cost:50
ID:30193, next hop:16587, cost:75
ID:31042, next hop:54214, cost:75
ID:31580, next hop:41274, cost:75
ID:32203, next hop:9561, cost:75
ID:32329, next hop:1964, cost:75
ID:32543, next hop:1964, cost:50
ID:32677, next hop:29095, cost:75
ID:33145, next hop:29095, cost:50
ID:33311, next hop:16587, cost:75
ID:34256, next hop:41274, cost:75
ID:34321, next hop:1964, cost:75
ID:34476, next hop:29095, cost:75
ID:34925, next hop:35139, cost:50
ID:34952, next hop:15353, cost:75
ID:35139, next hop:35139, cost:25
ID:35287, next hop:15353, cost:50
ID:35622, next hop:23643, cost:75
ID:35893, next hop:7973, cost:75
ID:35939, next hop:35939, cost:25
ID:36120, next hop:7973, cost:75
ID:36619, next hop:35939, cost:50
ID:36830, next hop:23643, cost:75
ID:37043, next hop:23643, cost:75
ID:37135, next hop:3742, cost:75
ID:37425, next hop:37425, cost:50
ID:37531, next hop:41274, cost:50
ID:37754, next hop:44291, cost:50
ID:37891, next hop:7973, cost:50
ID:38469, next hop:29095, cost:75
ID:38588, next hop:18027, cost:50
ID:38819, next hop:7973, cost:75
ID:38931, next hop:15353, cost:75
ID:38997, next hop:44291, cost:50
ID:39198, next hop:16587, cost:50
ID:39389, next hop:29095, cost:75
ID:39395, next hop:1964, cost:75
ID:39931, next hop:16587, cost:75
ID:40195, next hop:40195, cost:50
ID:40971, next hop:41274, cost:50
ID:41035, next hop:16587, cost:75
ID:41274, next hop:41274, cost:25
ID:41483, next hop:7973, cost:50
ID:42394, next hop:35939, cost:50
ID:42546, next hop:1964, cost:75
ID:42848, next hop:23643, cost:75
ID:43222, next hop:29095, cost:75
ID:43281, next hop:41274, cost:50
ID:43807, next hop:35939, cost:75
ID:44235, next hop:23643, cost:50
ID:44291, next hop:44291, cost:25
ID:44311, next hop:3742, cost:50
ID:44351, next hop:23643, cost:75
ID:44577, next hop:18027, cost:50
ID:44651, next hop:44291, cost:50
ID:45068, next hop:44291, cost:75
ID:45356, next hop:44291, cost:75
ID:45429, next hop:29095, cost:75
ID:45454, next hop:15353, cost:50
ID:45514, next hop:50749, cost:50
ID:45619, next hop:50749, cost:75
ID:45622, next hop:23643, cost:75
ID:45826, next hop:581, cost:75
ID:45895, next hop:3742, cost:75
ID:46004, next hop:16587, cost:50
ID:46831, next hop:16587, cost:50
ID:46835, next hop:46835, cost:75
ID:46854, next hop:41274, cost:75
ID:47546, next hop:16587, cost:50
ID:47652, next hop:35939, cost:75
ID:48216, next hop:1964, cost:75
ID:48502, next hop:15353, cost:75
ID:49143, next hop:49143, cost:0
ID:49384, next hop:23643, cost:50
ID:49404, next hop:23643, cost:50
ID:49643, next hop:50749, cost:50
ID:50390, next hop:35139, cost:50
ID:50492, next hop:35939, cost:50
ID:50749, next hop:50749, cost:25
ID:51424, next hop:3742, cost:50
ID:51690, next hop:15353, cost:50
